Day,Cash On Hand
11,3691631
12,5096203
13,6634796
14,7697143
15,8653116
16,8333137
17,9001053
18,12495683
19,11120222
20,12114516
21,13885192
22,13528628
23,16023258
24,18502474
25,21211102
26,25137857
27,27331664
28,30122953
29,32748021
30,35978029
31,38759360
32,41262851
33,51547033
34,59880516
35,64063723
36,67187460
37,68298812
38,70001464
39,73624698
40,77242316
41,80292758
42,81703487
43,85296461
44,99427771
45,109575860
46,113402804
47,116753504
48,120599535
49,122066172
50,122198641
51,127280282
52,137692744
53,149228620
54,161885971
55,165363579
56,171707859
57,177327069
58,182090030
59,187231540
60,192498136
61,194014893
62,199138113
63,205464249
64,211020727
65,235028546
66,240612097
67,245679661
68,248884206
69,252020758
70,263528843
71,276078657
72,299742593
73,306065056
74,311854706
75,315043366
76,318687423
77,321987475
78,325194135
79,327518518
80,330577690
81,334280720
82,337558424
83,341093481
84,359234220
85,377118364
86,379769071
87,381435276
88,384464771
89,387602315
90,391242746
